id,name,property_type,accommodates,review_scores_rating
20755,Large Parlor Room; Landmark Home 1 block to PRATT,Townhouse,3,85
9518,SPACIOUS; LOVELY FURNISHED MANHATTAN BEDROOM,Apartment,2,83
20853,2-bed brownstone duplex + garden,Apartment,4,99
20913,Charming 1 bed GR8 WBurg LOCATION!,Apartment,2,81
9657,Modern 1 BR  NYC EAST VILLAGE,Apartment,3,94
21293,Sunny Apartment in Artist Home,Apartment,4,91
21456,Light-filled classic Central Park ,Apartment,2,94
9704,Spacious 1 bedroom in luxe building,Apartment,2,98
9782,Loft in Williamsburg Area w- Roof,Apartment,2,81
21644,Upper Manhattan; New York,Apartment,1,100
9783,back room-bunk beds,Apartment,2,88
21794,COZY QUIET room 4 DOOGLERS!,Apartment,2,99
10452,Large BandB Style rooms,Apartment,3,94
22911,The Stuydio Modern and Light Filled,Apartment,4,92
10962,Lovely room 2 and garden; Best area; Legal rental,Townhouse,2,94
11708,Cute apt in artist's home,Apartment,2,86
11943,Country space in the city,House,1,
12048,LowerEastSide apt share shortterm 1,Apartment,1,96
22918,loft bed - near transportation-15min to times sq,Apartment,2,78
23135,House On Henry (3rd FLR Suite),Apartment,3,93
12192,ENJOY Downtown NYC!,Apartment,2,87
12299,Beautiful Sunny Park Slope Brooklyn,Apartment,2,98
23180,Stay in Brooklyn!,Apartment,4,86
12303,1bdr w private bath. in lofty apt,Apartment,2,100
12318,West Side Retreat,Apartment,2,94
23501,Monkey Retreat Manhattan,Apartment,2,94
12343,BEST BET IN HARLEM,Apartment,3,97
23545,Because Nice Matters-Upper Upper West Side 2bd-2ba,House,7,95
23686,2000 SF 3br 2bath West Village townhouse,House,5,89
12627,Entire apartment in central Brooklyn neighborhood.,Apartment,2,96
12937,1 Stop fr. Manhattan! Private Suite;Landmark Block,Townhouse,4,98
12940,Charming Brownstone 3 - Near PRATT,Apartment,2,86
24143,Williamsburg Oasis—Steps To Subway; Total Privacy,Condominium,2,95
13050,bright and stylish duplex,Townhouse,5,94
24285,Beautiful Duplex Apartment,Apartment,9,96
13076,SPACIOUS SUNNY ROOM,Apartment,1,90
25192,Sandra's Room,House,3,
25235,Large 2 Bedroom Great for Groups!,Apartment,7,93
13121,(E) RIGHT ON BUDGET,House,4,83
13394,Fort Greene brownstone ,Apartment,2,94
25406,Modern Brooklyn Apt.; 3-4 MO. SUBLET (flex. dates),Apartment,4,92
25696,1;800 sq foot in luxury building,Apartment,2,95
13414,Cat Lover Bargain in Heart of Williamsburg,Apartment,2,94
25915,[1552] 1BR - Longacre House,Apartment,2,
26012,Sunny 2-story Brooklyn townhouse w deck and garden,Townhouse,6,98
26362,Times Square; Safe; Clean and Cozy!,Apartment,1,91
13552,Cute Cozy Studio in Manhattan,Apartment,2,93
26520,Large Cozy Room #3; Landmark Home 1 Block to PRATT,Townhouse,3,94
26540,Studio Apartment-Work Space in East Village,Apartment,2,98
13808,Blue Room for 2 in Brownstone for $1350 monthly,Townhouse,2,94
13974,Fort Greene Lofty Retreat,Loft,6,95
26559,Beautiful Apartment East Village,Apartment,1,97
26785,Park Slope Green Guest House,Apartment,3,98
14287,Cozy 1BD on Central Park West in New York City,Apartment,2,92
14290,* ORIGINAL BROOKLYN LOFT *,Loft,2,93
14314,Greenpoint Place...Has It All! ,Apartment,4,96
26864,Nice room in Prime W.Burg Location,Loft,2,96
14322,Beautiful Apartment in Manhattan!!!,Apartment,2,95
26954,NYC fabulous views Manhattan's eye,Apartment,2,98
14377,Williamsburg 1 bedroom Apartment,Apartment,2,97
14468,Under the Empire State Building-Midtown Manhattan,Apartment,3,88
26969,2 story family home in Williamsburg,House,6,96
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,Apartment,4,91
14694,Large bedrm kitchen lounge  garden Victorian House,House,2,100
14708,Brooklyn; Ditmas Park; The Roost,House,2,98
27024,Priv Apt;Garden;BBQ;AC;BigTV;for 4,Apartment,4,89
27385,Great Large 1 BR apt  in East Village!,Apartment,4,94
14991,Great Location; Manhattan Bedroom!,Apartment,1,98
27531,Eveland Private Bed and Living Room w- Own Entrance,Townhouse,4,98
15220,Best Location in NYC! TIMES SQUARE!,Apartment,1,93
15230,Charming 2 Bedroom Yard Access,Apartment,4,88
15338,Room in Greenpoint Loft w Roof,Apartment,2,86
15341,**Bright Nolita Apt w Doorman-Elevators-Gym**,Condominium,2,92
27644,Sugar Hill Rest Stop ,Apartment,6,95
27659,3 Story Town House in Park Slope,Apartment,9,94
27759,apartment next to Central park,Apartment,2,90
27883,East Village Sanctuary,Apartment,3,97
15385,Very; very cozy place,Apartment,1,95
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Apartment,2,83
28383,[2311-1] Lux 1 BR at Beekman Tower-5 Min. to U.N.,Apartment,2,
15491,Sleep by Night at CozySuite Chambre,Apartment,2,90
15493,Stay at the CozySuite Fortress,Apartment,2,81
28396,Modern Apt with Spectacular Views,Apartment,2,91
28907,Garden studio in the Upper East Sid,Apartment,4,99
29455,ACCOMMODATIONS GALORE #1,Apartment,4,92
29628,Sunny Room in New Condo,Apartment,2,98
29012,Big Room in Beautiful Huge Apt,Apartment,2,94
30031,NYC artists’ loft with roof deck,Loft,2,98
29013,B and B Room 1,Apartment,2,94
30222,Lovely Boerum Hill - PrivateTerrace,Apartment,2,95
29414,Modern and Quiet Studio Downtown Manhattan!,Apartment,1,93
31130,Most Central Location!,Apartment,2,97
54158,The Institute—Heart of Williamsburg,Apartment,5,93
31555,Luminous Beautiful West Village Studio,Apartment,2,92
31902,Sanctuary in East Flatbush,House,2,
54213,Chic West Village Flat,Apartment,2,85
54453,MIDTOWN WEST - Large alcove studio,Apartment,1,90
31994,Room with En Suite Bathroom and Deck,Apartment,2,89
32023,FLAT MACDONOUGH,Apartment,4,92
54466,Beautiful Uptown Manhattan apartmnt,Apartment,2,
54508,Sml Rm in pr Brst  Park Sl great for Med-students,Townhouse,2,92
32037,Huge Private  Floor at The Waverly,Condominium,3,96
54544,City Room - Private Penthouse Apt.,Apartment,4,93
32100,Modern Greenpoint; Brooklyn Apt,Apartment,5,100
32289,Sun-drenched; artsy modernist 1 BDRM duplex,Apartment,3,100
54626,Cozy bedroom by Yankee Stadium,House,2,96
32329,Fully Furnished Beautiful 1 Bedroom,Apartment,1,100
54694,(H) Great Deal-Pvt Rm,House,2,87
54860,Great apartment with private bathroom and entrance,Apartment,2,97
32331,Sunny; Cobble Hill Apartment,Apartment,3,90
32363,Fully Furnished Basement Apartment,House,2,80
32965,FLAT MACDONOUGH GARDEN,Apartment,6,91
55320,Peaceful and Cozy 1Br Apt in Residential Harlem,Apartment,4,95
55467,Private Garden Apt • New Renovation,Apartment,2,98
32969,Light filled Williamsburg Apartment,Apartment,2,100
55565,Cosy Cool Apt By JMZ w-Washer-Dryer + Roof Space,Apartment,3,91
33009,Retreat in Williamsburg,Apartment,2,99
55668,NOHO-EAST VILLAGE; PRIVATE 1-2 BATH,Apartment,2,97
55737,Sleek and Comfortable Soho Apt,Apartment,2,95
33156,Sunny; clean Zen Studio pr.Bath UWS,Apartment,2,100
55959,Spacious Williamsburg Share w- LOFT BED,Apartment,1,96
33223,Cozy BR in Wiliamsburg 3 Bedroom,Apartment,2,94
55982,Cozy 2 br in sunny Fort Greene apt,Apartment,1,95
56467,Cozy East Village Railroad 1 Bed!,Apartment,3,96
33810,Cozy Pad....All Yours! Beautiful and Warm,Apartment,4,100
34760,Sunny Room in Townhouse; Historic Brooklyn,Townhouse,2,100
56859,City Room - Private and Comfy Bedroom,Apartment,2,92
56894,Private Garden Apartment with Patio,Apartment,2,92
57297,Clean and bright 1BR in Cobble Hill; GREAT location!,Apartment,3,93
35526,Sun Filled Classic West Village Apt,Apartment,2,98
36121,Lg Rm in Historic Prospect Heights,Apartment,2,98
57468,Modern; Large East Village Loft,Loft,2,94
36133,Classic Artist Loft Williamsburg,Loft,2,93
57618,Great new apt; close to everything,Apartment,4,96
36240,Brooklyn Apt near Manhattan and Coney,Apartment,2,
57740,Quiet and Clean Retreat in the City,Apartment,2,93
36442,Great location. Spacious on PROSPECT PARK,Apartment,4,70
57754,Stylish Large Gramercy Loft!,Loft,2,99
36647,Private Bdrm-Bathrm. New! Elevator!,Apartment,2,95
57874,The Brownstone-Luxury 1 Bd Apt-NYC,Apartment,2,97
58059,PRIVATE Room on Historic Sugar Hill,Apartment,3,94
36703,Sunny; clean 1 bdrm in W. Village,Condominium,2,98
36934,Great location in Williamsburg,Apartment,2,88
37197,BRIGHT EAST VILLAGE APT IN TRENDY AREA,Apartment,4,90
58062,South Slope Green,Townhouse,4,96
38182,Spectacular NYC skyline ; private  ,Apartment,1,90
58101,2BR Super Cool SoHo - Nolita,Apartment,3,87
38638,Light and Airy Upper East Side 1 BDR apartment,Apartment,2,95
58294,Sunny apt. in the center of SOHO,Apartment,2,98
38663,Luxury Brownstone in Boerum Hill,House,13,93
38780,Great room to stay ,Apartment,4,88
39267,CENTRAL PARK LOFT all for YOU,Apartment,4,83
39282,Indie-Chic Share In Williamsburg,Apartment,2,95
39572,1 br in a 2 br apt (Midtown West),Apartment,2,97
58467,17 Flr. Manhattan Views; Nr. Subway,Apartment,2,96
39593,A room w- a Manhattan view; longer stay,Apartment,1,98
39704,Private; Large and Sunny 1BR w-WandD,Townhouse,4,94
40039,Luxurious Condo in DUBMO with View,Apartment,2,100
40884,UES Beautiful Home White Room,Apartment,1,95
58471,Huge Apt 2 BR Dining and Living roo,Apartment,2,
59014,Spacious 1BR; Adorable Clean Quiet,Apartment,3,90
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,Loft,6,94
41386,Apt.in landmark Brownstone; Harlem,Apartment,2,93
41513,Convenient cozy cheap apt Manhattan,Apartment,4,80
42580,Parlor Room In Victorian Townhouse,Apartment,3,90
42729,House On Henry (2nd FLR Suite),Apartment,3,91
59121,Nice; clean; safe; convenient 3BR,Apartment,9,97
42882,New York room with a view,Apartment,2,96
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,Apartment,2,90
43957,Sunny cozy room in Brklyn townhouse,Townhouse,1,99
59855,One bedroom Apt. in NYC,Apartment,4,92
44096,Room with a View,House,1,97
44161,Light+Open+Airy+Rustic+Modern Loft,Apartment,4,95
60164,Beautiful; elegant 3 bed SOHO loft,Loft,6,85
44212,West Inn 2 - East Village,Apartment,2,94
44221,Financial District Luxury Loft,Apartment,2,97
60457,Spacious Greenwich Village Apt,Apartment,3,96
44229,BROOKLYN VICTORIAN STYLE SUITE.....,House,2,93
60611,SpaHa Studio Monthly Rental,Apartment,2,97
44288,Private Lovely West Village Studio,Apartment,2,95
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Condominium,5,91
60666,City Room - Private Luxury Suite,Apartment,3,94
60673,Private Room-bath Luxurious Harlem,Apartment,1,100
45393,Greenwich Village Stylish Apartment,Apartment,2,97
45542,Clean and Cozy Harlem Apartment,Apartment,4,100
60680,The gem of the East Village,Apartment,5,89
60794,Bright and spacious; garden below!,Apartment,6,100
45556,Fort Greene; Brooklyn: Center Bedroom,Apartment,2,98
60864,Location!!Sunny 2br in a brownstone,Apartment,4,96
60948,ACCOMMODATIONS GALORE #2,Apartment,4,89
45689,Fully Furnished 2BR - West Village,Apartment,6,94
45910,Beautiful Queens Brownstone! - 5BR,Apartment,16,88
45936,Couldn't Be Closer To Columbia Uni,Bed and breakfast,2,93
61167,Colorful Private One Bedroom Apt,Apartment,4,92
45940,Bright Spacious Condo,Condominium,1,98
61224,Huge Chelsea Loft,Apartment,4,92
46544,Park Slope haven 15 mins from Soho,Apartment,2,93
61406,Great room in great location,Apartment,1,
61492,Exclusive Room with Private Bath in  LES,Apartment,2,97
61509,Quiet; clean midtown apt w. elevato,Apartment,3,85
46723,SAFE  AND BEAUTIFUL ACCOMODATION,House,2,95
46859,Stay at the CozySuite Meridian,Apartment,2,84
46911,Large Room in private Brownstone in Park Slope,House,2,95
62095,BK Sweet Suite w-KitchenandFullBath,Apartment,4,83
62230,Room in charming downtown apt (LES),Apartment,1,92
62264,Big Luminous Private Room - Williamsburg Bedford L,Apartment,2,89
62427,Great East Village Apartment Rental,Apartment,2,96
62430,BROWNSTONE SUNDRENCHED BEAUTY,Apartment,3,90
47199,NEW YORK CITY; 1 BDRM.(NEAR CENTRAL PARK and METRO),Apartment,1,96
62452,A SpeciaL!! Private Room in NY,House,2,89
62461,B NYC Staten Alternative...,House,2,87
62465,1 BDRM. APT. WITH PRIVATE ROOM E.V.,Apartment,2,96
47362,LARGE; COMFY 1BDR W-CHARACTER!!!,Apartment,2,89
47370,Chelsea Studio sublet 1 - 2 months,Apartment,2,90
62787,C Private Room By The Ferry,House,2,88
62891,Smallest House In The Village,House,3,86
62903,Beautiful modern studio apartment in heart of NYC,Apartment,2,98
62925,Beautiful Landmarked Duplex,House,4,96
63003,Eclectic Artists Home and Studio in Gramercy Park,Apartment,2,97
63154,Cozy Corners in Crown Heights!#,Apartment,4,93
63299,Sunny Guest Room w-Queen Bed @ Williamsburg Bridge,Apartment,1,95
48719,Designer 1 BR Duplex w- Terrace- Spectacular Views,Loft,2,96
49715,Beautiful Room in Central Harlem,Apartment,2,95
63320,D Private Che@p Room 2 Explore NYC,Apartment,2,86
50174,Spacious; Spotless 1Bd- BK Heights!,Apartment,2,98
63360,Safe; cute; close2subway; retro style+garden NY NY,Apartment,5,93
50447,Lovely Apt and Garden; Legal; Best Area; Amenities,Apartment,3,97
63373,Quiet room in Carroll Gardens; Brooklyn,Apartment,1,97
51438,1 Bedroom in 2 Bdrm Apt- Upper East,Apartment,1,
51485,Lower East Side $60~-night,Apartment,2,87
51533,Spacious Williamsburg BK 1br Apt,Apartment,2,90
63546,Large and Cozy Private Bedroom,Apartment,2,88
63573,Small tidy bedroom in duplex,Apartment,2,93
63588,LL3,House,3,
63610,DOMINIQUE'S NY mini efficiency pad*metro* wifi,Apartment,3,98
51572,Prime Location in Manhattan,Apartment,2,92
63657,Private; Large and Sunny 2BR w-WandD,Townhouse,4,92
51850,( F) Excellent-Pvt Rm,House,2,89
63693,Cottage in the Village,House,4,88
51852,(G) PERFECT SPACE,House,2,92
63719,BEDROOM1 FOR RENT 10min from Manhan,Apartment,2,93
52757,Park Slope - Big; Bright and Sunny,Apartment,2,93
53137,Quiet; sunny Midtown Manhattan apt.,Apartment,2,60
53196,Big Room-Washer-Dryer-Wifi-AC-JMZ,Apartment,3,98
53469,cozy studio with parking spot,Apartment,3,87
53470,Clean and convenient 2BR apartment,Apartment,7,80
53477,Nice Queens townhouse with parking,Townhouse,12,93
64000,Williamsburg near soho. - loftbed,Apartment,1,98
65615,Farmhouse Apartment in Williamsburg,Apartment,2,93
64015,Prime East Village 1 Bedroom,Apartment,2,
65660,Bright+Spacious Williamsburg Abode!,Apartment,3,93
64107,BROOKLYN  STUDIO APARTMENT,Townhouse,2,96
65813,Suite Sugar Hill; Harlem; Private Rm in Hosted Apt,Apartment,1,99
64277,BEDROOM2 FOR RENT  10min from Manh,Apartment,2,90
64314,cozy bedroom in lovely garden apt,Apartment,2,96
64361,East village one bedroom apartment,Apartment,3,91
64365,Crown Heights Garden Apt.,Apartment,2,96
64837,ENJOY Downtown NYC!!,Apartment,2,91
65019,Charming UWS Treehouse Apt,Apartment,2,98
65213,AMAZING LUXURY 2BR 2BATH,Condominium,6,70
65834,Beautiful 1 Bedroom Apt Park Slope,Apartment,2,100
65268,Share a HOME - $75 for 1 bdrm-++ for 2 - Brooklyn,House,3,98
66008,CHARMING CARROLL GARDENS APT.,Apartment,4,97
66026,Private Bedroom Brownstone Brooklyn,Apartment,2,96
66251,East Village Loft with Piano and Patio,Loft,2,100
66275,Lower East Side Magic Room,Apartment,5,97
66340,Quality 1br 2 stops from Midtown,Apartment,4,93
66451,**Fantastic Williamsburg apt**,Apartment,2,90
65556,Room in S3rd-Bedford; Williamsburg,Apartment,1,
65562,CHARMING EAST VILLAGE 2 (or 1) BR,Apartment,3,100
66718,West Harlem Home Base - Eco-Apt.,Apartment,5,86
66741,Charming Garden Apt in Park Slope,Apartment,5,96
66974,Lovely; Modern; Garden Apartment,Apartment,4,100
95883,Spacious Loft in Clinton Hill,Loft,6,87
96471,The Brooklyn Waverly; One Bedroom,Condominium,5,100
67208,PERFECT Location; EXCELLENT Reviews,Apartment,4,96
98663,Groovy NYC Chelsea Pad January-Feb Avail,Apartment,2,96
67288,Central Park 1BR sunny condo,Apartment,2,97
99070,Comfortable Cozy Space in El Barrio,Apartment,1,99
67299,Cozy Garden Apartment  in Williamsburg,Apartment,4,98
100002,MANHATTAN Neat; Nice; Bright ROOM,Apartment,3,94
100023,Newly Renovated Central Park Condo,Apartment,3,94
67397,SoHa comfort-by NW Central Park!,Apartment,2,95
68099,Cozy room in Upper West Side,Apartment,1,85
68403,The Cozy Brownstone Inn (discount)!,Apartment,4,89
68735,Prewar Penthouse w Private Terrace,Apartment,2,99
100184,Bienvenue,Apartment,2,94
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,Apartment,5,99
100186,Large Brand New Park Slope 1BR,Apartment,3,99
68900,Bright Beautiful Brooklyn,Apartment,2,97
102995,UWS Brownstone Near Central Park,Apartment,3,93
68974,Unique spacious loft on the Bowery,Loft,8,96
69894,Nice renovated apt; prime location!,Apartment,2,96
69921,Brooklyn Writer's Nook,Apartment,2,95
70095,Private Bedroom in Large NYC Apartment,Apartment,2,99
103161,Rock Art Top Floor Apt in PRIME Williamsburg!,Apartment,2,95
70128,Large; Sunny Room East Village NYC,Apartment,1,97
103311,2 BR w- Terrace @ Box House Hotel,Apartment,6,83
70279,Red Hook Modern Townhouse,House,8,83
103806,BOHEMIAN EAST VILLAGE 2 BED HAVEN,Apartment,6,84
70381, Beautiful Soho full floor  Loft,Apartment,5,91
105469,Oceanfront Apartment in Rockaway,Apartment,1,98
105510,Private 1-Bedroom Apt in Townhouse,Apartment,4,85
105790,Holiday special near Columbia Univ!,Apartment,2,97
106363,Bright Room With A Great River View,Apartment,1,96
106647,Tree lined block modern apartment,Apartment,4,97
106906,Sunny Top Floor Fort Greene Two Bedroom,Apartment,1,98
107630,Sweet Historic Greenpoint Duplex,House,3,94
107895,Riverside Charm with Fire Place,Apartment,2,92
70609,Great Large 3 BR-2 Bath Duplex with Private Patio!,Apartment,7,95
110576,Historic House of Music and Art NYC!,Apartment,2,92
112304,Cozy Private Room in West Harlem!,Apartment,2,100
71010,Antiquarian Bookshop cum Luxury Garden apt,Apartment,6,99
112359,UES Quiet and Spacious 1 bdrm for 4,Apartment,5,93
71366,Beautiful One Bed West Village - 4 Month Special,Condominium,2,98
71384,Gigantic Private Brooklyn Loft!,Loft,4,100
112435,ALL ABOUT A VERY COMFORTABLE ROOM..,House,2,92
71507,1 Bedroom Apartment on a quiet tree lined street,Apartment,4,89
71812,Condo Apartment with parking and laundry in unit,Apartment,2,100
113092,Rm in Beautiful Luxury Apt. Bldg,Apartment,1,
72190,1BR: See Central Park from Terrace!,Apartment,4,90
113265,Brooklyn- Crown Heights Garden Apt.,Apartment,2,96
72265,Private room in cozy Greenpoint,Apartment,1,87
114229,Lower East Side 2 Bedroom Apt,Apartment,7,97
114969,Manhattan Studio; Perfect Location,Apartment,2,93
115535,Sun-Drenched Hamilton Hts Jewel   ,Apartment,1,94
73586,in LIC - 5 minuts from the NYC,Apartment,4,94
74073,Food and Music Dream Apartment in Williamsburg,Apartment,4,100
115678,Your Stunning Vacation Apartment!,House,10,91
74078,[1696] 1 Bedroom  Ritz Plaza,Apartment,2,
74240,French Garden cottage off Bedford,Apartment,2,92
115748,1 BDRM Apt Astoria-Weekend Sublease,Apartment,2,90
74680,One Bedroom Mini studio - Free WIFI,Apartment,3,93
116940,ROOM WITH A  KITCHENETTE,House,2,92
117425,Conveniently Located; Sunny Brooklyn Heights!,Apartment,2,90
74860,Sunlit and Cozy Williamsburg-Greenpoint; Brooklyn,Apartment,2,100
118061,Style in Stuyvesant Heights,Apartment,4,96
75193,Big Guest Room w-King Bed near Williamsburg Bridge,Apartment,2,93
118680,Spacious East Village apt near it all,Apartment,2,
75389,True 1-Bedroom North Park Slope Apt,Apartment,2,
121473,Greenpoint; Brooklyn arty apt with great city view,Apartment,4,96
75524,NICE SOFA BED IN A BEAUTIFUL APT,Apartment,1,
75635,Bright Cozy Chinatown Studio Apt.,Apartment,3,95
75727,Apartment with fireplace; private roof deck!,Apartment,4,99
76761,Eveland Experience a 5 Star Airbnb,Apartment,6,97
77765,Superior @ Box House,Boutique hotel,2,99
121861,Park Slope Apt:; Spacious 2 bedroom,Apartment,4,99
123784,NYC Studio for Rent in Townhouse,Apartment,3,94
125053,⚡Quiet Gem on NY's Hottest Street⚡,Loft,3,99
125163,Authentic New York City Living ,House,2,98
78603,Brownstone in Brooklyn,Apartment,4,92
78919,Historic House Boerum Hill; BK; NYC,House,4,92
125265,1 bedroom loft in Gramercy (7+ day minimum stay),Apartment,2,95
79067,Lovely 3 bedroom in Italianate Brownstone w-garden,Apartment,5,94
79782,Williamsburg HUGE; PRIVATE BATH - Next to Train!,Apartment,2,84
80493,Cozy room in East Village with AC,Apartment,2,86
80684,Duplex w- Terrace @ Box House Hotel,Apartment,4,100
80700,Loft w- Terrace @ Box House Hotel,Apartment,4,90
80924,Spacious 3 Bedroom Duplex in Park Slope,Townhouse,5,97
81739,Loft w- Terrace @ Box House Hotel,Apartment,4,80
125594,SUPER BIG AND COZY PRIVATE BEDROOM,Apartment,2,90
82550,Columbia Castle 2 BR,Apartment,4,95
126443,Huge 2BR 2Bath duplex in East Villa,Apartment,9,85
82638,Charming Artist's Flat; East Village,Apartment,2,96
126816,Gorgeous Upper West Side Apartment,Apartment,1,73
82885,Modern; airy and bright plant-filled duplex loft,Condominium,2,94
82928,BEAUTIFUL 2 BEDROOM APARTMENT,Townhouse,6,99
127387,Luxe; Spacious 2BR 2BA Nr Trains,Apartment,4,100
83243,Brooklyn Cove Studio Apt w- Garden!!,Apartment,2,88
128975,City Room - Street View Apt,Apartment,5,93
83446,Large; convenient Ft. Greene 2BR,Apartment,4,92
130439,***Manhattan NYC - Nice-clean Room!,Apartment,3,100
131154,Cozy and Bright One Bedroom in BK,Apartment,2,97
83722,Williamsburg penthouse with private roof cabana,Condominium,4,100
131747,ELEGANT PRE-WAR APT* Best Upper West Location,Apartment,2,92
83811,Large Patio - 2 Bedroom - LES Style,Apartment,6,95
132516,Forest Hills Apt minutes to midtown Manhattan,Apartment,3,94
83847,East Village Designer's 1-BR APT,Apartment,2,99
84010,Superior @ Box House,Boutique hotel,2,98
84059,So Much Room in Brooklyn,Apartment,6,80
132570,Spacious West Village 1 b-room King,Apartment,2,99
84251,Room in a beautiful old brownstone,House,1,98
84480,YOUR TRUE PRIVATE CORNER GEM IN NYC,Apartment,2,
132661,Time Square  Shared APT.,Apartment,1,97
84659,Large Studio--Heart of East Village,Apartment,2,94
132695,Perfect Williamsburg Summer Haven,Apartment,2,100
84905,Huge.Bright.Clean.Safe. Private Room,Apartment,2,93
133025,Midtown cozy convenient,Apartment,1,96
85094,Lux Garden Apartment in Brownstone,Apartment,4,89
134224,3 level private house in Park Slope,House,4,95
86215,✺DOWNTOWN SPACIOUS✺ Bright 2 BD Sleeps 6!,Apartment,6,95
